City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,80.6,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Harper,LR,78.19,broken clouds,4.375,-7.7169,Screensaver
10,Port Blair,IN,81.52,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
11,Mitsamiouli,KM,81.97,broken clouds,-11.3847,43.2844,Foyer ADM
12,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
15,Rikitea,PF,79.86,light rain,-23.1203,-134.9692,Pension Maro'i
17,Kapaa,US,78.8,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Mar Del Plata,AR,69.01,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Hirara,JP,73.4,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
24,Rio Grande,BR,68.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
30,Sungaipenuh,ID,78.42,scattered clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
32,Honiara,SB,85.71,scattered clouds,-9.4333,159.95,Heritage Park Hotel
35,Busselton,AU,89.01,broken clouds,-33.65,115.3333,Observatory Guest House
36,Bunia,CD,66.88,broken clouds,1.5667,30.25,Gold Star International Hotel
38,Hervey Bay,AU,79.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
39,Kruisfontein,ZA,68.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
40,Port Elizabeth,ZA,68.0,light rain,-33.918,25.5701,39 On Nile Guest House
43,Libreville,GA,80.6,few clouds,0.3925,9.4537,Hotel Re-Ndama
45,Lazaro Cardenas,MX,69.57,few clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
46,Port Alfred,ZA,69.01,light rain,-33.5906,26.891,The Halyards Hotel
48,Key Largo,US,77.0,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
49,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Sinnamary,GF,77.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
55,Kochi,IN,73.4,mist,9.9399,76.2602,Trident Hotel Cochin
60,Esperance,AU,80.6,scattered clouds,-33.8667,121.9,Hospitality Esperance
66,Greytown,ZA,65.19,light rain,-29.0642,30.5928,Lord Grey Guest House
68,Totolapan,MX,71.01,clear sky,18.5167,-96.1833,Tepaxtli
69,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
71,Farafangana,MG,75.51,light rain,-22.8167,47.8333,Miarina
72,Rocha,UY,67.62,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
74,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
75,Senador Jose Porfirio,BR,74.79,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
76,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
79,Vaini,TO,86.0,few clouds,-21.2,-175.2,Keleti Beach Resort
81,Dogondoutchi,NE,73.24,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
82,Sao Filipe,CV,70.68,overcast clouds,14.8961,-24.4956,Tortuga B&B
84,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
85,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
89,Yambio,SS,68.76,broken clouds,4.5721,28.3955,Naivasha Hotel
90,Makakilo City,US,82.4,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
92,Cockburn Town,TC,77.72,clear sky,21.4612,-71.1419,Osprey Beach Hotel
93,Arraial Do Cabo,BR,75.88,light rain,-22.9661,-42.0278,Pousada Porto Praia
94,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
95,Gangavalli,IN,74.52,overcast clouds,11.4983,78.6497,Vasantham Mahal Gangavalli
98,Coolum Beach,AU,81.0,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
103,Atuona,PF,79.21,clear sky,-9.8,-139.0333,Villa Enata
105,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
110,Faanui,PF,81.77,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Tautira,PF,84.2,moderate rain,-17.7333,-149.15,Pension Oaoa
114,Butaritari,KI,79.92,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
117,Waipawa,NZ,66.0,light rain,-41.4122,175.5153,Tora Coastal Walk
