City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,2021-02-15 02:56:52,19.7297,-155.09,80.6,69,20,14.97,few clouds
1,Raudeberg,NO,2021-02-15 02:56:52,61.9875,5.1352,41.0,57,100,24.0,light rain
2,Ushuaia,AR,2021-02-15 02:56:52,-54.8,-68.3,48.2,66,75,5.88,broken clouds
3,Mataura,NZ,2021-02-15 02:56:52,-46.1927,168.8643,59.0,70,96,14.0,overcast clouds
4,Maniitsoq,GL,2021-02-15 02:56:53,65.4167,-52.9,4.08,88,77,12.33,broken clouds
5,Lebu,CL,2021-02-15 02:56:53,-37.6167,-73.65,57.6,80,0,19.06,clear sky
6,Valdivia,CL,2021-02-15 02:56:53,-39.8142,-73.2459,55.4,71,0,3.44,clear sky
7,Harper,LR,2021-02-15 02:56:53,4.375,-7.7169,78.19,89,79,5.88,broken clouds
8,Asau,RO,2021-02-15 02:56:53,46.4333,26.4,26.6,80,90,4.61,overcast clouds
9,Sitka,US,2021-02-15 02:56:53,57.0531,-135.33,33.8,51,90,10.36,overcast clouds
10,Port Blair,IN,2021-02-15 02:56:54,11.6667,92.75,81.52,73,77,8.32,broken clouds
11,Mitsamiouli,KM,2021-02-15 02:56:54,-11.3847,43.2844,81.97,80,84,13.53,broken clouds
12,Quatre Cocos,MU,2021-02-15 02:55:08,-20.2078,57.7625,77.0,94,40,4.61,scattered clouds
13,New Norfolk,AU,2021-02-15 02:56:54,-42.7826,147.0587,64.99,64,100,3.0,overcast clouds
14,Berlevag,NO,2021-02-15 02:56:54,70.8578,29.0864,24.17,93,84,6.22,light snow
15,Rikitea,PF,2021-02-15 02:56:54,-23.1203,-134.9692,79.86,77,68,15.43,light rain
16,Chokurdakh,RU,2021-02-15 02:56:54,70.6333,147.9167,-7.49,91,100,11.72,light snow
17,Kapaa,US,2021-02-15 02:52:20,22.0752,-159.319,78.8,73,1,11.5,clear sky
18,Nikolskoye,RU,2021-02-15 02:56:55,59.7035,30.7861,0.0,77,20,6.71,few clouds
19,Mar Del Plata,AR,2021-02-15 02:56:56,-38.0023,-57.5575,69.01,100,75,2.3,broken clouds
20,Fortuna,US,2021-02-15 02:56:56,40.5982,-124.1573,48.99,100,90,17.27,overcast clouds
21,Hobart,AU,2021-02-15 02:53:31,-42.8794,147.3294,64.99,67,75,6.91,broken clouds
22,Tuatapere,NZ,2021-02-15 02:56:56,-46.1333,167.6833,59.0,70,83,14.0,broken clouds
23,Hirara,JP,2021-02-15 02:56:56,24.8,125.2833,73.4,53,40,13.8,scattered clouds
24,Rio Grande,BR,2021-02-15 02:56:05,-32.035,-52.0986,68.0,97,100,3.65,light rain
25,Tukrah,LY,2021-02-15 02:56:56,32.5341,20.5791,52.52,68,95,17.07,overcast clouds
26,Dikson,RU,2021-02-15 02:56:57,73.5069,80.5464,-21.46,87,100,14.03,overcast clouds
27,Jamestown,US,2021-02-15 02:56:57,42.097,-79.2353,18.0,79,1,3.76,clear sky
28,Derzhavinsk,KZ,2021-02-15 02:56:57,51.1,66.3167,18.43,96,91,4.97,overcast clouds
29,Ilulissat,GL,2021-02-15 02:56:57,69.2167,-51.1,8.6,61,90,10.36,overcast clouds
30,Sungaipenuh,ID,2021-02-15 02:56:57,-2.0833,101.3833,78.42,65,38,0.69,scattered clouds
31,Hermanus,ZA,2021-02-15 02:54:08,-34.4187,19.2345,63.0,73,34,1.99,scattered clouds
32,Honiara,SB,2021-02-15 02:55:26,-9.4333,159.95,85.71,71,31,8.5,scattered clouds
33,Bredasdorp,ZA,2021-02-15 02:56:58,-34.5322,20.0403,60.8,55,2,12.66,clear sky
34,Punta Arenas,CL,2021-02-15 02:54:23,-53.15,-70.9167,50.0,66,75,19.57,broken clouds
35,Busselton,AU,2021-02-15 02:56:58,-33.65,115.3333,89.01,48,70,1.99,broken clouds
36,Bunia,CD,2021-02-15 02:55:08,1.5667,30.25,66.88,66,79,3.0,broken clouds
37,Winslow,US,2021-02-15 02:56:58,35.0242,-110.6974,42.8,56,90,12.66,overcast clouds
38,Hervey Bay,AU,2021-02-15 02:56:59,-25.2986,152.8535,79.0,71,96,10.0,overcast clouds
39,Kruisfontein,ZA,2021-02-15 02:56:59,-34.0033,24.7314,68.0,80,88,8.01,overcast clouds
40,Port Elizabeth,ZA,2021-02-15 02:56:59,-33.918,25.5701,68.0,83,20,23.02,light rain
41,Bluff,NZ,2021-02-15 02:56:59,-46.6,168.3333,59.0,70,65,14.0,broken clouds
42,Turbat,PK,2021-02-15 02:56:59,26.0023,63.044,63.88,31,0,4.14,clear sky
43,Libreville,GA,2021-02-15 02:53:20,0.3925,9.4537,80.6,89,20,6.91,few clouds
44,Chinsali,ZM,2021-02-15 02:57:00,-10.5414,32.0816,62.15,97,100,3.74,overcast clouds
45,Lazaro Cardenas,MX,2021-02-15 02:57:00,17.9583,-102.2,69.57,74,23,5.46,few clouds
46,Port Alfred,ZA,2021-02-15 02:57:00,-33.5906,26.891,69.01,93,100,8.01,light rain
47,Bethel,US,2021-02-15 02:57:00,41.3712,-73.414,32.0,64,20,4.61,few clouds
48,Key Largo,US,2021-02-15 02:57:00,25.0865,-80.4473,77.0,95,82,9.98,broken clouds
49,Puerto Ayora,EC,2021-02-15 02:57:01,-0.7393,-90.3518,77.0,91,75,6.53,broken clouds
50,Sinnamary,GF,2021-02-15 02:57:01,5.3833,-52.95,77.23,81,89,14.43,overcast clouds
51,Kalbay,PH,2021-02-15 02:57:01,5.7233,125.4986,84.2,70,20,8.05,few clouds
52,Margate,GB,2021-02-15 02:57:01,51.3813,1.3862,41.0,75,100,8.01,light rain
53,Santa Margherita Ligure,IT,2021-02-15 02:57:02,44.3346,9.212,36.0,35,73,5.23,broken clouds
54,Urumqi,CN,2021-02-15 02:57:02,43.801,87.6005,15.8,92,90,4.47,light snow
55,Kochi,IN,2021-02-15 02:57:02,9.9399,76.2602,73.4,83,23,5.75,mist
56,Norman Wells,CA,2021-02-15 02:57:02,65.282,-126.8329,-11.2,77,75,5.1,light snow
57,Tuktoyaktuk,CA,2021-02-15 02:57:02,69.4541,-133.0374,-7.6,77,90,8.05,light snow
58,Albany,US,2021-02-15 02:56:04,42.6001,-73.9662,24.01,59,100,4.5,overcast clouds
59,Nizhniy Mamon,RU,2021-02-15 02:57:03,50.1937,40.5083,9.82,93,9,7.67,clear sky
60,Esperance,AU,2021-02-15 02:56:25,-33.8667,121.9,80.6,39,31,8.05,scattered clouds
61,Mabai,CN,2021-02-15 02:57:03,23.0128,104.4508,55.78,88,79,4.7,broken clouds
62,Kedrovyy,RU,2021-02-15 02:57:03,56.1667,91.8167,-9.4,77,20,3.87,mist
63,Sidi Ali,DZ,2021-02-15 02:57:04,36.0998,0.4206,48.0,78,17,6.85,few clouds
64,Nanortalik,GL,2021-02-15 02:57:04,60.1432,-45.2371,22.33,91,37,10.56,scattered clouds
65,Pevek,RU,2021-02-15 02:57:04,69.7008,170.3133,-18.06,85,0,0.92,clear sky
66,Greytown,ZA,2021-02-15 02:57:04,-29.0642,30.5928,65.19,96,97,1.88,light rain
67,Kibre Mengist,ET,2021-02-15 02:57:04,5.8833,38.9833,59.43,52,69,2.04,broken clouds
68,Totolapan,MX,2021-02-15 02:57:05,18.5167,-96.1833,71.01,88,1,6.91,clear sky
69,Geraldton,AU,2021-02-15 02:57:05,-28.7667,114.6,84.2,48,0,9.22,clear sky
