City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2021-02-14 09:10:58,-42.7826,147.0587,64.99,52,26,1.01
1,Ketchikan,US,2021-02-14 09:10:58,55.3422,-131.6461,33.8,34,90,3.44
2,Mataura,NZ,2021-02-14 09:10:59,-46.1927,168.8643,59.29,73,96,1.68
3,Bengkulu,ID,2021-02-14 09:10:59,-3.8004,102.2655,84.11,73,99,6.17
4,Hobart,AU,2021-02-14 09:06:31,-42.8794,147.3294,64.99,68,75,10.36
5,Victor Harbor,AU,2021-02-14 09:10:59,-35.5667,138.6167,64.0,75,0,1.99
6,Tuktoyaktuk,CA,2021-02-14 09:10:59,69.4541,-133.0374,-5.67,92,99,8.39
7,Urla,TR,2021-02-14 09:10:59,38.3229,26.764,51.8,100,75,6.91
8,Hermanus,ZA,2021-02-14 09:11:00,-34.4187,19.2345,66.99,94,82,3.0
9,Ushuaia,AR,2021-02-14 09:11:00,-54.8,-68.3,41.0,75,40,11.5
10,Itarema,BR,2021-02-14 09:11:00,-2.9248,-39.9167,77.72,87,65,10.85
11,Bambous Virieux,MU,2021-02-14 09:11:00,-20.3428,57.7575,84.99,65,40,11.5
12,Busselton,AU,2021-02-14 09:11:00,-33.65,115.3333,90.0,26,72,3.0
13,Kapoeta,SS,2021-02-14 09:11:01,4.7717,33.5903,98.89,22,72,18.14
14,Pangnirtung,CA,2021-02-14 09:11:01,66.1451,-65.7125,-20.78,80,94,2.06
15,Carnarvon,AU,2021-02-14 09:11:01,-24.8667,113.6333,82.4,89,90,14.97
16,Hilo,US,2021-02-14 09:11:01,19.7297,-155.09,71.6,83,90,4.61
17,Avarua,CK,2021-02-14 09:11:02,-21.2078,-159.775,77.0,94,20,2.3
18,Sorong,ID,2021-02-14 09:11:02,-0.8833,131.25,83.01,76,100,8.61
19,Tasiilaq,GL,2021-02-14 09:11:02,65.6145,-37.6368,29.71,91,100,16.46
20,Rikitea,PF,2021-02-14 09:11:02,-23.1203,-134.9692,79.65,77,58,16.62
21,Marawi,PH,2021-02-14 09:08:26,7.9986,124.2928,81.0,86,100,3.0
22,Lagoa,PT,2021-02-14 09:11:03,39.05,-27.9833,57.16,68,73,32.01
23,Straumen,NO,2021-02-14 09:11:03,63.8709,11.2999,35.01,80,75,5.75
24,Coahuayana,MX,2021-02-14 09:11:03,18.7333,-103.6833,61.18,85,1,3.89
25,Cabedelo,BR,2021-02-14 09:09:22,-6.9811,-34.8339,75.2,100,40,3.44
26,Punta Arenas,CL,2021-02-14 09:07:05,-53.15,-70.9167,39.2,81,0,10.36
27,Arraial Do Cabo,BR,2021-02-14 09:11:04,-22.9661,-42.0278,73.4,94,75,4.61
28,Esna,EG,2021-02-14 09:06:09,25.2934,32.554,69.8,40,0,6.13
29,Albany,US,2021-02-14 09:10:03,42.6001,-73.9662,19.0,47,100,1.74
30,Dikson,RU,2021-02-14 09:11:05,73.5069,80.5464,-15.81,89,100,12.12
31,Waingapu,ID,2021-02-14 09:11:05,-9.6567,120.2641,83.95,73,100,9.64
32,San Jeronimo,PE,2021-02-14 09:11:05,-11.9472,-75.2829,47.05,74,89,0.74
33,Yulara,AU,2021-02-14 09:11:05,-25.2406,130.9889,89.6,33,90,12.66
34,Rajpipla,IN,2021-02-14 09:11:05,21.8667,73.5,91.4,29,0,4.61
35,Flin Flon,CA,2021-02-14 09:10:25,54.7682,-101.865,-20.06,88,18,4.85
36,Sabha,LY,2021-02-14 09:11:06,27.0377,14.4283,65.7,27,0,7.61
37,Komsomolskiy,UZ,2021-02-14 09:11:06,40.4272,71.7189,57.2,41,0,4.61
38,Mbandaka,CD,2021-02-14 09:10:12,0.0487,18.2603,88.43,55,95,6.15
39,Atuona,PF,2021-02-14 09:11:06,-9.8,-139.0333,78.3,79,3,16.22
40,Haines Junction,CA,2021-02-14 09:11:06,60.7522,-137.5108,-27.4,68,42,1.14
41,Kahului,US,2021-02-14 09:11:07,20.8947,-156.47,69.8,83,1,11.34
42,Sinnamary,GF,2021-02-14 09:11:07,5.3833,-52.95,77.4,84,100,15.08
43,Raudeberg,NO,2021-02-14 09:11:07,61.9875,5.1352,28.99,52,100,10.29
44,Provideniya,RU,2021-02-14 09:11:07,64.3833,-173.3,5.58,91,98,14.23
45,Lerwick,GB,2021-02-14 09:11:07,60.1545,-1.1494,41.0,81,90,34.52
46,Simao,CN,2021-02-14 09:11:08,22.7886,100.9748,72.88,39,0,4.99
47,Torbay,CA,2021-02-14 09:11:08,47.6666,-52.7314,19.0,73,40,13.8
48,Saskylakh,RU,2021-02-14 09:11:08,71.9167,114.0833,-25.42,82,100,5.7
49,Port Alfred,ZA,2021-02-14 09:11:08,-33.5906,26.891,80.01,85,88,5.01
50,Goderich,CA,2021-02-14 09:11:08,43.7501,-81.7165,-0.4,85,73,4.61
51,Sao Joao Da Barra,BR,2021-02-14 09:11:09,-21.6403,-41.0511,75.04,86,100,10.36
52,Katsuura,JP,2021-02-14 09:11:09,35.1333,140.3,60.01,55,38,4.0
53,Port Shepstone,ZA,2021-02-14 09:11:09,-30.7414,30.455,79.75,84,91,18.21
54,Deda,RO,2021-02-14 09:11:09,46.9333,24.9,21.0,86,90,5.75
55,Kapaa,US,2021-02-14 09:11:09,22.0752,-159.319,73.4,83,20,10.36
56,Bredasdorp,ZA,2021-02-14 09:11:10,-34.5322,20.0403,78.8,53,15,16.11
57,Castro,BR,2021-02-14 09:11:10,-24.7911,-50.0119,60.31,95,74,3.11
58,Saint-Pierre,RE,2021-02-14 09:11:10,-21.3393,55.4781,88.0,62,0,27.63
59,Mar Del Plata,AR,2021-02-14 09:06:54,-38.0023,-57.5575,68.0,100,75,4.9
60,Utete,TZ,2021-02-14 09:11:10,-7.986,38.758,74.86,92,100,7.63
